isolate.code,isolation.longitude.cor,isolation.latitude.cor,Thab.past,Thab.fut,Thab.change,safety_margin,warming_tolerance,growth.eq,DGE
216,288.66,41.57,13.78152838,17.34773667,3.566208292,-4.061487989,1.904902743,13.7815315,0
217,288.66,41.57,13.78152838,17.34773667,3.566208292,5.740168983,16.14093006,24.12230699,10.34077862
219,290.05,41.79,12.94050838,16.9299432,3.989434822,4.811924961,13.05947713,21.67948178,8.738973405
220,289.68,41.9,12.61777183,16.57707732,3.959305487,5.56066118,15.69152459,22.27153564,9.653763812
221,289.68,41.9,12.61777183,16.57707732,3.959305487,-2.3408142,7.51356607,12.61777111,0
223,289.68,41.9,12.61777183,16.57707732,3.959305487,6.45315293,14.72337219,23.30940949,10.69163766
225,351.05,42.43,16.21330837,18.52379553,2.310487154,7.905433837,13.06539571,28.16121057,11.9479022
231,6.87,43.2,16.55107842,19.56361079,3.012532368,7.006064116,11.44663184,26.98991879,10.43884037
232,5.32,43.32,15.91344529,19.06173326,3.14828797,7.426416088,16.32164954,28.87771914,12.96427385
233,290.55,43.56,11.88131497,16.24675474,4.365439768,5.087992878,12.04415775,20.74024721,8.858932236
234,143.79,44.14,6.019877477,10.09689422,4.077016748,2.336296091,8.985510043,10.30496132,4.285083845
235,143.79,44.14,6.019877477,10.09689422,4.077016748,6.595956883,13.99258163,16.73759607,10.71771859
239,293.49,44.7,11.25931439,14.97088903,3.711574637,4.499317526,12.88330509,19.50054521,8.241230814
240,215,45,10.93208756,14.51028587,3.578198303,2.798717135,12.57995356,16.51152857,5.579441008
256,236.99,48.54,11.8208945,14.55451151,2.733617013,6.069456113,16.1185685,22.74138404,10.92048954
257,236.99,48.54,11.8208945,14.55451151,2.733617013,12.2102659,19.39087937,29.59448594,17.77359144
259,236.67,49.28,11.28282954,14.1736501,2.890820556,5.463486547,18.7195459,22.45944414,11.1766146
260,215.33,49.67,8.955396001,12.69321948,3.737823478,8.813134149,18.17884146,23.15181869,14.19642269
262,355.85,50.35,12.52425533,15.72548432,3.201228988,9.382442142,15.3217629,26.3984172,13.87416187
320,9.07,56.57,8.281032781,12.22817341,3.947140626,12.05319534,17.99339886,26.47188363,18.19085085
324,20.32,58.88,6.171876377,10.85169902,4.679822638,-3.32204286,4.562050813,6.171875423,0
329,10.52,58.9,7.986648371,11.41912569,3.432477314,12.51587486,19.30743065,26.08016843,18.09352006
344,10.61,58.9,7.99890839,11.42414753,3.425239142,12.74815002,18.96567238,26.60609164,18.60718325
345,10.61,58.9,7.99890839,11.42414753,3.425239142,8.12242586,21.48464805,25.44143183,17.44252344
346,10.61,58.9,7.99890839,11.42414753,3.425239142,13.50837776,20.96466268,27.99630159,19.9973932
348,340,60,9.318211611,11.0499068,1.731695189,13.07144163,20.81064536,28.79605385,19.47784224
353,5.63,60.43,8.517300369,12.29133478,3.774034415,11.94944817,18.51512762,25.69548601,17.17818565
358,2,66,5.871666032,9.675246289,3.803580257,15.84320397,21.20485576,27.07528993,21.2036239
361,264.8,74.65,-1.628844847,-0.062422955,1.566421892,5.182102459,16.59267046,8.294655871,9.923500717
362,264.8,74.65,-1.628844847,-0.062422955,1.566421892,2.805672916,6.640156307,3.059158139,4.688002985
364,291.76,37.51,21.20840968,24.24838924,3.03997956,4.238253252,8.866742522,28.22244299,7.01403331
365,220,0,25.29887254,28.80140863,3.502536088,1.900732086,7.916113736,28.84111056,3.542238013
366,252.9,-5.7,25.81469338,29.05321811,3.23852473,-1.710777826,3.316621244,25.81469003,0
367,271.2,30.23,23.23259905,26.73457736,3.501978308,5.006860563,10.57654733,31.64625007,8.413651019
368,310.7,39,18.51139871,21.55810804,3.04670933,5.294540317,9.666666067,26.7964686,8.285069886
369,291.76,37.51,21.20840968,24.24838924,3.03997956,5.246936682,8.935442852,29.13106282,7.922653138
370,134.58,34.5,18.60840007,22.03530192,3.426901851,5.251214252,13.25650143,27.52107881,8.912678743
372,289.42,41.56,13.04004527,16.73056556,3.690520294,2.694404314,11.78760046,18.0198087,4.979763431
402,291.27,43.94,10.76872787,15.17917347,4.4104456,7.422310967,14.23367458,22.61763939,11.84891151
450,130.83,33.93,18.76519859,22.57078369,3.805585092,6.851612716,16.27778265,30.61389117,11.84869257
451,130.83,33.93,18.76519859,22.57078369,3.805585092,8.352165046,16.30595888,32.01433948,13.24914088
452,130.83,33.93,18.76519859,22.57078369,3.805585092,6.181821716,16.33544811,29.35832997,10.59313138
453,130.83,33.93,18.76519859,22.57078369,3.805585092,6.711222116,16.29754281,30.06300221,11.29780362
454,130.83,33.93,18.76519859,22.57078369,3.805585092,6.404650976,16.38963289,29.67070375,10.90550516
455,130.83,33.93,18.76519859,22.57078369,3.805585092,7.189354406,16.26056433,30.64896547,11.88376687
456,130.83,33.93,18.76519859,22.57078369,3.805585092,5.578486376,16.30851845,28.50254499,9.737346399
457,130.83,33.93,18.76519859,22.57078369,3.805585092,2.361227316,11.28657233,23.13645316,4.371254569
458,130.83,33.93,18.76519859,22.57078369,3.805585092,3.424371726,11.28041539,24.84717513,6.081976533
459,130.83,33.93,18.76519859,22.57078369,3.805585092,3.475227096,11.25661403,24.92300049,6.157801891
460,130.83,33.93,18.76519859,22.57078369,3.805585092,4.265898236,11.24097817,26.06301826,7.297819665
461,130.83,33.93,18.76519859,22.57078369,3.805585092,3.408795616,11.2674575,24.82144134,6.056242747
462,130.83,33.93,18.76519859,22.57078369,3.805585092,5.586896766,16.33883977,29.26734452,10.50214593
463,130.83,33.93,18.76519859,22.57078369,3.805585092,7.312549546,16.28105886,31.43659686,12.67139826
464,130.83,33.93,18.76519859,22.57078369,3.805585092,7.117660266,16.29868043,31.24997516,12.48477656
465,130.83,33.93,18.76519859,22.57078369,3.805585092,8.001455346,16.29597989,32.13960551,13.37440692
466,130.83,33.93,18.76519859,22.57078369,3.805585092,7.330810866,16.26916455,31.51068203,12.74548343
467,130.83,33.93,18.76519859,22.57078369,3.805585092,6.987936386,20.89384795,31.94001163,13.17481304
468,130.83,33.93,18.76519859,22.57078369,3.805585092,11.15684447,21.26174634,36.67985507,17.91465647
