"","lat","tos","tossd","tos_n"
"96",-29.1710069444444,2.62156537743456,0.387497668257045,231
"97",-30.4123263888889,2.6398147259724,0.351446966411758,233
"98",-31.6536458333333,2.64429604247951,0.308828407116949,243
"99",-32.8949652777778,2.63013906562198,0.300022645425954,258
"100",-34.1362847222222,2.63615871333764,0.339120490336829,262
"101",-35.3776041666667,2.664754307403,0.399542340505991,269
"102",-36.6189236111111,2.69114693401141,0.449670917982337,270
"103",-37.8602430555556,2.71993515436973,0.459803797136632,277
"104",-39.1015625,2.76636284938475,0.471931765351897,280
"105",-40.3428819444444,2.81949524695641,0.529323641975197,280
"106",-41.5842013888889,2.81283172835883,0.540070742517978,282
"107",-42.8255208333333,2.75497030060422,0.486242568974149,282
"108",-44.0668402777778,2.67509839030482,0.433060381530333,283
"109",-45.3081597222222,2.57011346030283,0.370840733190361,284
